datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2017-07-14,115082777.36464638,0.004923537813542467,2734229105.0035396,0.1895375539732339,2685859.375580581,0.0001892222738209803,114508095.58615197,574681.7784944093,0.004385828971862793
2017-07-17,112879088.75180371,-0.018976154000885884,2754105571.5099916,0.17271451872830945,2705719.4823020515,0.00017257236205329589,112356986.64999574,522102.10180797055,-0.010674834251403809
2017-07-18,113279509.94280948,0.00374328689820019,2776185658.097869,0.19560829939393404,2727837.1053016884,0.0001959408358466528,112704452.6404826,575057.3023268753,0.0009881258010864258
2017-07-19,116000824.28735898,0.024290186214699184,2806332461.4027915,0.2661275928907404,2758103.1515728915,0.0002671802366242868,115217547.09874332,783277.1886156602,0.01706218719482422
2017-07-20,116695682.87001212,0.006192300368155109,2829852716.9734364,0.20275938309179706,2781556.5158606656,0.0002021827381991274,116069641.61142784,626041.2585842763,0.004860877990722656
2017-07-21,116733373.8558899,0.0005290964144328456,2853891341.3887243,0.20599411926887398,2805608.7973691993,0.00020611115096113455,116104070.69232287,629303.163567035,-0.005144238471984863
2017-07-24,116909887.91458979,0.0017063096484119613,2876565051.02064,0.19423502365233442,2828278.020771294,0.00019419659222803112,116312226.43406639,597661.4805234037,0.003988146781921387
2017-07-25,116117299.97998418,-0.0065880920043780615,2898933634.868155,0.1913318389617891,2850652.857574063,0.00019138532421753108,115529507.42575371,587792.5542304614,-0.006387114524841309
2017-07-26,115410488.1001355,-0.005892206830509476,2921544578.519371,0.19472502077738296,2873277.589340356,0.00019484376376468666,114817744.04751673,592744.0526187653,-0.0038095712661743164
2017-07-27,116568420.5119651,0.01018939236994664,2939623565.281368,0.1566494264049085,2891307.9243701035,0.00015622787258384507,116091010.25887395,477410.2530911409,0.0018351078033447266
2017-07-28,117140394.85943994,0.005105102198000681,2962669763.6139817,0.19770533246822522,2914427.276668361,0.0001983328949360203,116539796.0273609,600598.8320790338,0.002613067626953125
